principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion
CARBIDOPA,mg,25,TABLETA,>200 mg DU/dia,"Anemia; pérdida de peso, aumento de peso, aumento del nivel de aa (aumento de...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CARBON ACTIVADO,mg,250,CAPSULA,SDTE,"estreñimiento, dolor abdominal",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CARBONATO DE CALCIO,mg,600,TABLETA,SDTE/DL 50>2000 MG/KG (RATAS),"En caso de uso excesivo: diarrea, constipación intestinal. En caso de adminis...",CALCITONINA/ACIDO ZOLEDRONICO,SIN_DOSIS_TOXICA_ESPECIFICA
CARBONATO DE LITIO,mg,300,TABLETA,40-110 MG/KG,"NAUSEAS VOMITOS DIARREA TEMBLOR FINO, HIPERTONIA, HIPERREFLEXIA, CLONUS, FASC...",HEMODIALISIS,PENDIENTE_VALIDACION
CARVEDILOL,mg,25,TABLETA,DOSIS MAX 50MG/DIA-DT>100MG/DIA,"Choque, Hipotensión, Bradicardia, Bloqueo AV, Broncoespasmo, Hipoglucemia, Co...",GLUCAGON,PENDIENTE_VALIDACION
CEFADROXILO,mg,500,CAPSULAS,SDTE/DMax 4G DIA,"Colitis pseudomembranosa, diarrea, fiebre, prurito, rash, urticaria, angioede...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CEFALEXINA,mg,500,CAPSULAS,SDTE/DMax 4G DIA,"Muy raras: náuseas, vómitos, diarrea, dispepsia, dolor abdominal; fatiga; hep...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CEFDITOREN,mg,200,POR CADA TABLETA RECUBIERTA,SDTE/DMax 800MG/DIA,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CEFPODOXIME,mg,100,TABLETA RECUBIERTA,>O= 5MG/KG (RATAS),"Pérdida de apetito; presión gástrica, náuseas, vómitos, dolor abdominal, flat...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CEFRADINA,mg,500,TABLETAS,SDTE/DMax 4G DIA,"Glositis, tenesmo, dolor abdominal, urticaria, erupción exantemática, prurito...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CEFTIBUTENO,mg,400,CÁPSULA DURA,SDTE/DMax 800MG/DIA,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CEFUROXIMA,mg,500,TABLETA,SDTE/DMax 2G/DIA,"Sobrecrecimiento de Candida; neutropenia, eosinofilia, descenso de Hb; cefale...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CELECOXIB,mg,200,CAPSULA,>400 MG/DIA,"Sinusitis, infección del tracto respiratorio superior, infección del tracto u...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CETILPIRIDINIO,mg,1.4,TABLETAS MASTICABLES,DL 1-3G,"La administración frecuente y prolongada del fármaco puede dar lugar, en algu...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CETIRIZINA,mg,10,CADA CAPSULA BLANDA CONTIENE,0.75MG/KG; 30-60MG/DIA,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
CIANOCOBALAMINA,mg,1,TABLETA RECUBIERTA,SDTE,"Diarrea leve transitoria, náuseas; dolor en el punto de iny.; urticaria, prur...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CICLOBENZAPRINA,mg.,10,TABLETARECUBIERTA,SDTE/DMax 60 MG/DIA,"Somnolencia, sequedad de boca y mareos.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CICLOFOSFAMIDA,mg,50,GRAGEA,APROX 20MG/KG,"Mielosupresión, leucopenia, neutropenia, fiebre neutropénica; náusea, vómitos...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CICLONAMINA (ETAMSILATO),mg,500,TABLETA,DL RATAS 7MG/KG,SINTOMAS GENERALES,MEDIDAS GENERALES,PENDIENTE_VALIDACION
CICLOSPORINA,mg,25,CAPSULA BLANDA,RATAS 30MG/KG,"Disfunción renal, HTA, temblor, cefalea incluyendo migraña, parestesia, anore...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CILOSTAZOL,mg,50,TABLETA,SDTE/DMax 200 MG/DIA,"Equimosis; edema (periférico, facial), anorexia; cefalea, mareo; palpitacione...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CINACALCET,mg,60,TABLETAS,SDTE/DMax 180MG/DIA,"Reacciones de hipersensibilidad; anorexia, disminución del apetito; convulsio...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CINARIZINA,mg,25,TABLETA,SDTE/DMax 25MG/DIA,"Somnolencia, molestias digestivas, fatiga, reacciones cutáneas y efectos anti...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CINITAPRIDA,mg,1,TABLETAMASTICABLE,SDTE,"Ligera sedación, somnolencia.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CIPROFIBRATO,mg,100,TABLETA,SDTE/DMax 100MG DIA,"Dispepsia, náusea, diarrea, dolor abdominal, cefalea, mialgia y miopatía incl...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CIPROFLOXACINA,mg,500,TABLETA,SDTE/DMax 1500 MG/DIA,"Náuseas, diarrea. Además IV: vómitos, reacciones en el lugar de perfus., aume...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CIPROTERONA ACETATO,mg,2,COMPRIMIDOS RECUBIERTOS,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CITALOPRAM,mg,20,TABLETA,SDTE/DT APROX 500-600MG; DL 2G,"NAUSEAS, VOMITOS, SEDACION, TEMBLOR, TAQUICARDIA, HIPERTENSION, - HIPOTENSION...",CIPROHEPTADINA,SIN_DOSIS_TOXICA_ESPECIFICA
CITICOLINA SODICA,mg,522.6,TABLETA RECUBIERTA,4.15-4.6 G/KG,"Muy raras: alucinaciones; cefalea, vértigo; HTA, hipotensión arterial; disnea...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CITRATO DE ALVERINA,mg,60,CAPSULA BLANDA,SDTE,Puede ocurrir hipotensión; somnolencia; cansancio; cefalea y sequedad de muco...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CITRATO DE POTASIO,mg,1080,TABLETA DE LIBERACIÓN PROLONGADA,SDTE,"Lesiones gastrointestinales con vómito severo, dolor abdominal o sangrado gas...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLADRIBINA,mg,10,POR CADA TABLETA,APROX 0.36 MG/KG/DIA,"Infecciones (neumonía, bacteriemia, celulitis, infección localizada, herpes o...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CLARITROMICINA,mg,500,TABLETA RECUBIERTA,DL 5G/KG,"Cefalea, perversión del sabor, disgeusia; insomnio; pérdida de audición (reve...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CLEMASTINA,mg,"2,68",TABLETA,">8,04MG/DIA","mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
CLINDAMICINA,mg,300,CADA CÁPSULA,SDTE/DMax 11 G/DIA,"Colitis pseudomembranosa, diarrea, dolor abdominal, alteraciones en PFH; vía ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLOBAZAM,mg,20,TABLETA,SDTE/DMax 80MG/DIA,"Somnolencia, embotamiento afectivo, reducción del estado de alerta, confusión...",FLUMAZENIL,SIN_DOSIS_TOXICA_ESPECIFICA
CLOMIFENO,mg,50,TABLETA,SDTE,"Hipertrofia de ovarios, hemorragias uterinas anormales, sofocos; molestias ab...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLOMIPRAMINA,,,,10-20 mg/Kg,"confusión, somnolencia, alucinaciones, convulsiones, taquicardia, hipotensión...",BICARBONATO DE SODIO,PENDIENTE_VALIDACION
CLONAZEPAM,mg,0.5,TABLETA,1.5 G- APARECEN SINT DE INTOX DESDE 500-600 MG,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,PENDIENTE_VALIDACION
CLONIDINA,mg,0.15,COMPRIMIDO (TABLETA),SDTE/APROX>10 MG,"Depresión, trastornos del sueño; mareo, sedación, cefalea; hipotensión ortost...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLONIXINATO DE LISINA,mg,125,TABLETA CUBIERTA,335 MG/KG VO-170MG/KG IV,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CLOPIDOGREL,mg,97855,1 TABLETA RECUBIERTA,SDTE,"Hematoma; epistaxis; hemorragia gastrointestinal, diarrea, dolor abdominal, d...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLORAMBUCILO,mg,2,TABLETA RECUBIERTA,DL50 123MG/KG,"Aplasia medular, neutropenia, anemia, trombocitopenia.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CLORANFENICOL,mg,250,UNA CAPSULA DURA,SDTE/DESCONTINUADO,"Leucopenia, agranulocitosis, anemia, reacción neurológica, de intolerancia o ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLORFENAMINA,mg,4,TABLETA,> 24 mg/dia-6g Hepatoxicidad,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",BICARBONATO DE SODIO,PENDIENTE_VALIDACION
CLORHEXIDINA,mg,4,TABLETA MASTICABLE,DL50 126 G APROX,"Reacciones cutáneas de hipersensibilidad, quemaduras químicas en neonatos.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CLORHIDRATO DE ALFUZOSINA,mg,10,COMPRIMIDO,SDTE/ >10 MG DIA,"Astenia, malestar ; náusea, dolor abdominal, diarrea, sequedad de boca; desfa...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLORMADINONA ACETATO,mg,2,TABLETA RECUBIERTA COLOR VERDE,SDTE,"Estado depresivo, nerviosismo, irritabilidad; mareos, migraña (y/o empeoramie...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLOROQUINA,mg,250,TABLETA,20MG/KG,"Dolor abdominal; anorexia, diarrea, náusea, vómitos; pérdida de peso; visión ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CLORTALIDONA,mg,25,TABLETA,> 200 MG/DIA,"Alteraciones electrolíticas, erupción cutánea, hipotensión ortostática, arrit...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CLORURO DE TROSPIO,mg,30,TABLETA RECUBIERTA,SDTE/>45 MG /DIA,"Sequedad de boca, dispepsia, estreñimiento, empeoramiento del estreñimiento, ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLOTIAZEPAM,mg,10,TABLETA,SDTE/DMax 60 MG/DIA,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,SIN_DOSIS_TOXICA_ESPECIFICA
CLOTRIMAZOL,mg,200,CAPSULA BLANDA VAGINAL (OVULO),SDTE,"Reacciones alérgicas (síncope, hipotensión, disnea, urticaria); descamación v...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CLOZAPINA,mg,25,TABLETA,62.5MG O >10MG/KG,"RIGIDEZ MUSCULAR, FIEBRE, DIAFORESIS, DISFAGIA, TEMBLOR, INCONTINENCIA, CONFU...",DANTROLENO,PENDIENTE_VALIDACION
COBICISTAT,mg,150,TABLETAS RECUBIERTAS,SDTE,"Hiperglucemia, aumento del apetito; insomnio, sueños anómalos; cefalea, mareo...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CODEINA,mg,15,TABLETA,6 G/DU,"Triada: Miosis (pupilas puntiformes), Depresión respiratoria, Coma hipoxia y ...",NALOXONA,PENDIENTE_VALIDACION
COLCHICINA,mg,0.5,TABLETA.,0.5-0.8MG/KG,"Diarrea,náuseas, vómitos, dolor abdominal. Otra reacción adversas identificad...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
COLECALCIFEROL,UI,100000,CÁPSULAS BLANDAS,SDTE,"Administración excesiva y durante periodos largos: hipercalcemia, anorexia, c...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CONDROITINA SULFATO,mg,400,CÁPSULA DURA,SDTE,Raras: náuseas y/o alteraciones gastrointestinales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CRIZOTINIB,mg,200,CAPSULA DURA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DABIGATRAN,mg,110,CAPSULA DURA,SDTE/DMax 300 MG/DIA,"En Ind.1: disminución de HB, función hepática/PHF anómalas. En Ind.2: anemia,...",idarucizumab,SIN_DOSIS_TOXICA_ESPECIFICA
DACOMITINIB,mg,15,TABLETA RECUBIERTA DE COLOR AZUL GRABADA CON EL TEXTO PFIZER EN UNA CARA Y DC...,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DANAZOL,mg,200,CAPSULA,SDTE,"Aumento de peso, acné, aumento del apetito, seborrea, hirsutismo, pérdida de ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DANURAVIR,mg,800,TABLETAS,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DAPAGLIFLOZINA,mg,10,COMPRIMIDO,SDTE/DMax 10 MG /DIA,"Vulvovaginitis, balanitis e infecciones genitales relacionadas o del tracto u...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DAPOXETINA,mg,30,TABLETA RECUBIERTA,STDE/DMax > 60MG/DIA,"Insomnio, ansiedad, agitación, inquietud, disminución de la libido, sueños an...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
DAPSONA,mg,100,TABLETA,5 MG/KG,"Eritema, sequedad, grasitud/descamación de la piel en el sitio de la aplicación",MEDIDAS GENERALES,PENDIENTE_VALIDACION
DARIFENACINA,mg,17858,TABLETA DE LIBERACIÓN PROLONGADA.,SDTE/ DMax 7.5 MG/DIA,"Estreñimiento, hiposialia, náuseas; cefalea, dispepsia, dolor abdominal, hipo...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DAROLUTAMIDA,mg,300,TABLETA RECUBIERTA,SDTE/DMax 1800 MG/DIA,"En CPRCnm: cardiopatía isquémica, insuficiencia cardíaca; erupción; dolor en ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DARUNAVIR,mg,600,COMPRIMIDOS RECUBIERTOS,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DASATINIB,mg,50,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DECUALINIO,mg,0.25,TABLETA,SDTE,"Ocasionalmente: irritación de garganta, ronquera, tos.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DEFERASIROX,mg,500,POR CADA TABLETA DISPERSABLE,SDTE/DMax 25-30 MG/KG/DIA,"Cefalea; diarrea, estreñimiento, vómitos, náuseas, dolor y distensión abdomin...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DEFLAZACORT,mg,6,TABLETA,SDTE/DL50 4-5.2G/KG,"Insuf. adrenal relativa, mayor susceptibilidad a infección, dispepsia, úlcera...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DELAFLOXACINO,mg,450,CADA TABLETAS RECUBIERTA,SDTE/DMax 900MG/DIA,"Náuseas, diarrea, vómitos; cefalea; elevación de transaminasas.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DESLORATADINA,mg,5,TABLETA,>15-25 MG/DIA,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
DESOGESTREL,mg,0.075,COMPRIMIDO RECUBIERTO,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DESVENLAFAXINA,mg,50,CADA TABLETA DE LIBERACION PROLONGADA,SDTE/DL >2G DU,"NAUSEAS, VOMITOS, SEDACION, TEMBLOR, TAQUICARDIA, HIPERTENSION, - HIPOTENSION...",CIPROHEPTADINA,SIN_DOSIS_TOXICA_ESPECIFICA
DEXAMETASONA,mg,4,TABLETAS,SDTE,"Leucocitosis moderada, linfopenia, eosinopenia y policitemia; supresión adren...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DEXIBUPROFENO,mg,300,TABLETA RECUBIERTA,SDTE/DMax 900MG/DIA,"Dispepsia, diarrea, náuseas, vómitos, dolor abdominal; erupción cutánea; aste...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DEXKETOPROFENO,mg,25,CADA TABLETA RECUBIERTA CONTIENE,> O = 5MG/KG,"Náuseas, vómitos, dolor abdominal, dispepsias, diarrea, dolor en el lugar de ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
DEXLANSOPRAZOL,mg,60,CAPSULA DE LIBERACION RETARDADA,SDTE,"Diarrea, dolor abdominal, náuseas, vómito y flatulencia; infecciones de vías ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DEXTROMETORFANO,mg,10,CÁPSULABLANDA,APROX >1G,"Mareos; nauseas, vómitos, molestias gastrointestinales; fatiga.",naloxona IV si aparece depresión respiratoria y benzodiazepinas IV o rectal c...,PENDIENTE_VALIDACION
DIACEREINA,mg,50,CAPSULA DURA,SDTE,"Diarrea, deposiciones blandas y dolor abdominal. Oscurecimiento del color de ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DIAZEPAM,mg,45570,TABLETA,>500 MG,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,PENDIENTE_VALIDACION
DICLOFENACO,mg,50,TABLETA,>7MG/KG,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION
DICLOXACILINA,mg,500,CÁPSULA DURA,DL 0.9G/KG-DMax 4 G/DIA,Puede ocasionar reacciones alérgicas y erupciones cutáneas de diverso grado d...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
DIDROGESTERONA,mg,5,TABLETA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DIENOGEST,mg,2,COMPRIMIDOS RECUBIERTOS CON PELICULA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DIFENHIDRAMINA,mg,50,CAPSULA,>400 MG/DIA-DOSIS TOX PLENA>800 MG/DIA,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
DIFENOXILATO,mg,2.5,TABLETA,SDTE,"sedación, mareos, cefalalgia, somnolencia, letargia, inquietud, depresión euf...",NALOXONA,SIN_DOSIS_TOXICA_ESPECIFICA
DIGOXINA,mcg,,,"0,05 mg/Kg-CONCENTRACION","sintomas gastrointestinales y generales: ANOREXIA, NAUSEAS, VOMITOS, DOLOR AB...",ANTICUERPOS ANTIDIGITALICOS,PENDIENTE_VALIDACION
DILTIAZEM,mg,60,CADA TABLETA CONTIENE,>360 MG,"Cefalea, HIPOTENSION, somnolencia, mareo, (inicio del tto.); debilidad; palp...",GLUCONATO DE CALCIO,PENDIENTE_VALIDACION
DIMENHIDRINATO,mg,50,TABLETAS,>300 MG,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
DIMETIL FUMARATO,mg,240,CAPSULAS DE LIBERACION RETARDADA,>25MG/KG/DIA,Para la indicación de esclerosis múltiple remitente-recurrente: gastroenterit...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
DIMETILPOLISILOXANO (DIMETICONA),mg,60,TABLETA,SDTE/DMax 330MG/DIA,"Frecuencia desconocida: náuseas, estreñimiento, dolor abdominal, erupción cut...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DINITRATO DE ISOSORBIDE,mg,10,TABLETA,SDTE/DMax 240MG/DIA,"Hipotensión ortostática, dolor de cabeza, ruborización, trastornos digestivos...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DIOSMINA,mg,600,TABLETA RECUBIERTA CON PELÍCULA,SDTE/ DMax 3000 MG/DIA,"Náuseas, vómitos, diarrea, dispepsia.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DIPIRONA,mg,300,GRAGEA,100MG/KG,GASTROINTESTINALES: NAUSEAS VOMITOS EPIGASTRALGIA DIARREA ULCERA PEPTICA. SNC...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
DOBESILATO CALCICO,mg,500,CAPSULA DURA,SDTE,"Cefalea; artralgia, mialgia.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DOCUSATO DE SODIO,mg,50,TABLETA,SDTE,"Cutáneos: dermatitis, rash; digestivos: nauseas, vómitos, cólicos, anorexia, ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DOLUTEGRAVIR,mg,10,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DOMPERIDONA,mg,10,TABLETA,SDTE/DMax 30 MG/DIA,XEROSTOMIA,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DONEPEZILO,mg,10,TABLETA CUBIERTA.,SDTE/DMax 10MG/DIA; DL50 32-45MG/KG,"Diarrea, calambres musculares, fatiga, dolor, náuseas, vómitos, insomnio, sín...",ATROPINA,SIN_DOSIS_TOXICA_ESPECIFICA
DORAVIRINA,mg,100,TABLETA RECUBIERTA,SDTE,"Sueños anormales, insomnio; cefalea, mareo, somnolencia; náuseas, diarrea, fl...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DOXASOZINA,mg,4,TABLETA,SDTE/DMax 8MG/DIA,"Infección del tracto respiratorio, infección del tracto urinario; mareo, cefa...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DOXEPINA,mg,50,TABLETA RECUBIERTA,10-20 mg/Kg,"Sequedad de boca, visión borrosa, estreñimiento. Síntomas de supresión: náuse...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
DOXICICLINA,mg,100,TABLETAS,SDTE/DMax 400 MG/DIA,"Reacción anafiláctica (incluyendo angioedema, exacerbación del lupus eritemat...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DOXILAMINA,mg,10,TABLETA DE LIBERACIÓN RETARDADA,3.6 MG/KG,"Somnolencia; boca seca, estreñimiento; visión borrosa; vértigo; retención uri...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
DOXOFILINA,mg,400,TABLETA,SDTE/DMax >1600 MG/DIA,"Después de la administración de xantinas, pueden presentarse náuseas, vómitos...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DRONABINOL,mg,10,CAPSULA BLANDA,SDTE,"Mareos, fatiga; anorexia (incluyendo apetito disminuido), aumento del apetito...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DRONEDARONA,mg,400,CADA TABLETA RECUBIERTA,>60MG/KG/DIA,"ICC, bradicardia; diarrea, vómitos, nauseas, dolor abdominal, dispepsia; prue...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
DROSPIRENONA,mg,3,TABLETA CUBIERTA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DROXIDOPA,mg,300,CÁPSULA DURA,SDTE,IGUAL A LEVODOPA+CARBIDOPA,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
DULOXETINA,mg,33.66,CAPSULAS DE LIBERACION RETARDADA,>1 G/DU,"NAUSEAS, VOMITOS, SEDACION, TEMBLOR, TAQUICARDIA, HIPERTENSION, - HIPOTENSION...",CIPROHEPTADINA,PENDIENTE_VALIDACION
DUTASTERIDA,mg,0.5,CAPSULA,SDTE/SE HAN USADO HASTA 40MG/DIA,"Impotencia, alteración (disminución) de la libido, trastornos en la eyaculaci...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
EFAVIRENZ,mg,600,TABLETAS RECUBIERTAS,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ELETRIPTAN,mg,40,TABLETA RECUBIERTA,SDTE/DMax 40 MG/DIA,"Faringitis y rinitis; somnolencia, dolor de cabeza, mareo, hormigueo o sensac...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ELIGLUSTAT,mg,84,CAPSULA DURA,SDTE/DMax 168MG/DIA,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ELTROMBOPAG,mg,25,TABLETA RECUBIERTA,CASO UNICO CON DT DE 5 GD/DU,"Depresión; ojo seco; tos, dolor orofaríngeo; náuseas, diarrea, vómitos, dolor...",Considerar la administración oral de preparados que contengan cationes metáli...,PENDIENTE_VALIDACION
ELVITEGRAVIR,mg,150,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
EMPAGLIFOZINA,mg,10,TABLETA RECUBIERTA,SDTE,"Moniliasis vaginal, vulvovaginitis, balanitis y otras infecciones genitales, ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
EMTRICITABINA,mg,200,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ENALAPRIL MALEATO,mg,20,TABLETA,0.7MG/KG,"Cefalea, depresión; visión borrosa; mareos, hipotensión (incluyendo hipotensi...","INOTROPICOS, SI HAY ALT DEL SNC NALOXONA",PENDIENTE_VALIDACION
