rule_id,med_id,principio_activo,indicacion,poblacion,via,metrica_renal,rango,limite_inferior,limite_superior,inferior_inclusivo,superior_inclusivo,regimen_ajustado,tipo_regla,notas,fuente,url_fuente,fecha_revision,estado,automatizable
REN-0066,MED-0136,CLARITROMICINA,Cualquier indicación,Adulto,PO,CrCl_CG_mL_min,≥30,30,,SI,NO,Dosis habitual (si no usa atazanavir/ritonavir),REGIMEN,,DailyMed – Clarithromycin prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa69ea92-0b41-43fb-918f-ed80e0dedf04,2026-09-02,VALIDADO,SI
REN-0067,MED-0136,CLARITROMICINA,Cualquier indicación,Adulto,PO,CrCl_CG_mL_min,<30,,30,SI,NO,Reducir dosis total de claritromicina 50%,PORCENTAJE,Con atazanavir o regímenes con ritonavir existen reducciones adicionales según ficha técnica.,DailyMed – Clarithromycin prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa69ea92-0b41-43fb-918f-ed80e0dedf04,2026-09-02,VALIDADO,SI
REN-0068,MED-0440,OSELTAMIVIR,Tratamiento influenza,Adulto,PO,CrCl_CG_mL_min,>60,60,,NO,NO,75 mg PO BID x5 días,REGIMEN,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
REN-0069,MED-0440,OSELTAMIVIR,Tratamiento influenza,Adulto,PO,CrCl_CG_mL_min,>30–60,30,60,NO,SI,30 mg PO BID x5 días,REGIMEN,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
REN-0070,MED-0440,OSELTAMIVIR,Tratamiento influenza,Adulto,PO,CrCl_CG_mL_min,>10–30,10,30,NO,SI,30 mg PO q24h x5 días,REGIMEN,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
REN-0071,MED-0440,OSELTAMIVIR,Profilaxis influenza,Adulto,PO,CrCl_CG_mL_min,>60,60,,NO,NO,75 mg PO q24h,REGIMEN,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
REN-0072,MED-0440,OSELTAMIVIR,Profilaxis influenza,Adulto,PO,CrCl_CG_mL_min,>30–60,30,60,NO,SI,30 mg PO q24h,REGIMEN,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
REN-0073,MED-0440,OSELTAMIVIR,Profilaxis influenza,Adulto,PO,CrCl_CG_mL_min,>10–30,10,30,NO,SI,30 mg PO cada 48 h,REGIMEN,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
REN-0074,MED-0440,OSELTAMIVIR,Tratamiento influenza – hemodiálisis,Adulto,PO,CrCl_CG_mL_min,≤10 / HD,,10,SI,SI,30 mg inmediatamente y luego 30 mg después de cada sesión de hemodiálisis; tratamiento total ≤5 días,DIALISIS,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,NO
REN-0075,MED-0440,OSELTAMIVIR,Profilaxis influenza – hemodiálisis,Adulto,PO,CrCl_CG_mL_min,≤10 / HD,,10,SI,SI,30 mg inmediatamente y luego 30 mg después de sesiones alternas de hemodiálisis,DIALISIS,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,NO
REN-0076,MED-0251,FAMOTIDINA,Úlcera duodenal o gástrica activa,Adulto,PO,CrCl_CG_mL_min,30–60,30,60,SI,SI,20 mg PO q24h o 40 mg cada 48 h,REGIMEN,Tabla aplicable a adultos y pacientes pediátricos ≥40 kg según la ficha citada.,DailyMed – Famotidine prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfc9e530-3433-4fed-a542-0e64123cddfb,2026-09-02,VALIDADO,SI
REN-0077,MED-0251,FAMOTIDINA,Úlcera duodenal o gástrica activa,Adulto,PO,CrCl_CG_mL_min,<30,,30,SI,NO,20 mg PO cada 48 h,REGIMEN,Tabla aplicable a adultos y pacientes pediátricos ≥40 kg según la ficha citada.,DailyMed – Famotidine prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfc9e530-3433-4fed-a542-0e64123cddfb,2026-09-02,VALIDADO,SI
REN-0078,MED-0251,FAMOTIDINA,ERGE sintomático no erosivo,Adulto,PO,CrCl_CG_mL_min,30–60,30,60,SI,SI,20 mg PO q24h,REGIMEN,Tabla aplicable a adultos y pacientes pediátricos ≥40 kg según la ficha citada.,DailyMed – Famotidine prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfc9e530-3433-4fed-a542-0e64123cddfb,2026-09-02,VALIDADO,SI
REN-0079,MED-0251,FAMOTIDINA,ERGE sintomático no erosivo,Adulto,PO,CrCl_CG_mL_min,<30,,30,SI,NO,20 mg PO cada 48 h,REGIMEN,Tabla aplicable a adultos y pacientes pediátricos ≥40 kg según la ficha citada.,DailyMed – Famotidine prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfc9e530-3433-4fed-a542-0e64123cddfb,2026-09-02,VALIDADO,SI
REN-0080,MED-0528,SITAGLIPTINA,Diabetes tipo 2,Adulto,PO,eGFR_CKDEPI_mL_min_1_73m2,≥45,45,,SI,NO,100 mg PO q24h,REGIMEN,,DailyMed – Sitagliptin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cebc8388-c9db-4e27-8d6b-0d9bdc9d766d,2026-09-02,VALIDADO,SI
REN-0081,MED-0528,SITAGLIPTINA,Diabetes tipo 2,Adulto,PO,eGFR_CKDEPI_mL_min_1_73m2,30–<45,30,45,SI,NO,50 mg PO q24h,REGIMEN,,DailyMed – Sitagliptin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cebc8388-c9db-4e27-8d6b-0d9bdc9d766d,2026-09-02,VALIDADO,SI
REN-0082,MED-0528,SITAGLIPTINA,Diabetes tipo 2,Adulto,PO,eGFR_CKDEPI_mL_min_1_73m2,<30 o ESRD,,30,SI,NO,25 mg PO q24h; sin relación con horario de diálisis,REGIMEN,,DailyMed – Sitagliptin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cebc8388-c9db-4e27-8d6b-0d9bdc9d766d,2026-09-02,VALIDADO,SI
REN-0083,MED-0377,METFORMINA,Diabetes tipo 2,Adulto,PO,eGFR_CKDEPI_mL_min_1_73m2,≥45,45,,SI,NO,Puede usarse según dosis habitual; monitorizar función renal,USO,,DailyMed – Metformin hydrochloride prescribing information,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=498ac5fc-14be-d36a-e063-6394a90a3012,2026-09-02,VALIDADO,SI
REN-0084,MED-0377,METFORMINA,Diabetes tipo 2,Adulto,PO,eGFR_CKDEPI_mL_min_1_73m2,30–<45,30,45,SI,NO,"No se recomienda iniciar. Si ya la recibe y eGFR cae <45, reevaluar beneficio/riesgo.",PRECAUCION,,DailyMed – Metformin hydrochloride prescribing information,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=498ac5fc-14be-d36a-e063-6394a90a3012,2026-09-02,VALIDADO,SI
REN-0085,MED-0377,METFORMINA,Diabetes tipo 2,Adulto,PO,eGFR_CKDEPI_mL_min_1_73m2,<30,,30,SI,NO,CONTRAINDICADA,CONTRAINDICACION,,DailyMed – Metformin hydrochloride prescribing information,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=498ac5fc-14be-d36a-e063-6394a90a3012,2026-09-02,VALIDADO,SI
REN-0086,MED-0276,GABAPENTIN,Adulto ≥12 años / régimen de ficha técnica,Adulto,PO,CrCl_CG_mL_min,≥60,60,,SI,NO,900–3600 mg/día; p. ej. 300–1200 mg TID,REGIMEN,Para CrCl <15 reducir proporcionalmente respecto a la dosis para CrCl 15; hemodiálisis requiere dosis suplementaria posdiálisis.,DailyMed – Gabapentin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d576364c-9aa6-4356-a31b-321b0292a8fe,2026-09-02,VALIDADO,SI
REN-0087,MED-0276,GABAPENTIN,Adulto ≥12 años / régimen de ficha técnica,Adulto,PO,CrCl_CG_mL_min,>30–59,30,60,NO,NO,400–1400 mg/día; 200–700 mg BID,REGIMEN,Para CrCl <15 reducir proporcionalmente respecto a la dosis para CrCl 15; hemodiálisis requiere dosis suplementaria posdiálisis.,DailyMed – Gabapentin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d576364c-9aa6-4356-a31b-321b0292a8fe,2026-09-02,VALIDADO,SI
REN-0088,MED-0276,GABAPENTIN,Adulto ≥12 años / régimen de ficha técnica,Adulto,PO,CrCl_CG_mL_min,>15–30,15,30,NO,SI,200–700 mg/día; 200–700 mg q24h,REGIMEN,Para CrCl <15 reducir proporcionalmente respecto a la dosis para CrCl 15; hemodiálisis requiere dosis suplementaria posdiálisis.,DailyMed – Gabapentin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d576364c-9aa6-4356-a31b-321b0292a8fe,2026-09-02,VALIDADO,SI
REN-0089,MED-0276,GABAPENTIN,Adulto ≥12 años / régimen de ficha técnica,Adulto,PO,CrCl_CG_mL_min,≈15,14.5,15.5,SI,SI,100–300 mg/día q24h,REGIMEN,Para CrCl <15 reducir proporcionalmente respecto a la dosis para CrCl 15; hemodiálisis requiere dosis suplementaria posdiálisis.,DailyMed – Gabapentin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d576364c-9aa6-4356-a31b-321b0292a8fe,2026-09-02,VALIDADO,SI
REN-0090,MED-0276,GABAPENTIN,Adulto ≥12 años / régimen de ficha técnica,Adulto,PO,CrCl_CG_mL_min,<15,,15,SI,NO,Reducir la dosis diaria proporcionalmente al CrCl respecto al régimen de CrCl 15 mL/min,PROPORCIONAL,,DailyMed – Gabapentin prescribing information,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d576364c-9aa6-4356-a31b-321b0292a8fe,2026-09-02,VALIDADO,NO
REN-0091,MED-0339,LEVETIRACETAM,Adulto – mantenimiento,Adulto,PO/IV,CrCl_normalizado_mL_min_1_73m2,>80,80,,NO,NO,500–1500 mg PO q12h,REGIMEN,La ficha calcula primero Cockcroft–Gault y luego normaliza a superficie corporal de 1.73 m².,DailyMed – Levetiracetam prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a05bbfa4-c34f-4134-8207-db79e4c70445,2026-09-02,VALIDADO,SI
REN-0092,MED-0339,LEVETIRACETAM,Adulto – mantenimiento,Adulto,PO/IV,CrCl_normalizado_mL_min_1_73m2,50–80,50,80,SI,SI,500–1000 mg PO q12h,REGIMEN,La ficha calcula primero Cockcroft–Gault y luego normaliza a superficie corporal de 1.73 m².,DailyMed – Levetiracetam prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a05bbfa4-c34f-4134-8207-db79e4c70445,2026-09-02,VALIDADO,SI
REN-0093,MED-0339,LEVETIRACETAM,Adulto – mantenimiento,Adulto,PO/IV,CrCl_normalizado_mL_min_1_73m2,30–<50,30,50,SI,NO,250–750 mg PO q12h,REGIMEN,La ficha calcula primero Cockcroft–Gault y luego normaliza a superficie corporal de 1.73 m².,DailyMed – Levetiracetam prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a05bbfa4-c34f-4134-8207-db79e4c70445,2026-09-02,VALIDADO,SI
REN-0094,MED-0339,LEVETIRACETAM,Adulto – mantenimiento,Adulto,PO/IV,CrCl_normalizado_mL_min_1_73m2,<30,,30,SI,NO,250–500 mg PO q12h,REGIMEN,La ficha calcula primero Cockcroft–Gault y luego normaliza a superficie corporal de 1.73 m².,DailyMed – Levetiracetam prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a05bbfa4-c34f-4134-8207-db79e4c70445,2026-09-02,VALIDADO,SI
REN-0095,MED-0339,LEVETIRACETAM,ESRD en diálisis,Adulto,PO/IV,CrCl_normalizado_mL_min_1_73m2,Diálisis,,,SI,NO,500–1000 mg q24h + 250–500 mg suplementarios después de diálisis,DIALISIS,,DailyMed – Levetiracetam prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a05bbfa4-c34f-4134-8207-db79e4c70445,2026-09-02,VALIDADO,NO
REN-0096,MED-0580,TOPIRAMATO,Adulto,Adulto,PO,CrCl_normalizado_mL_min_1_73m2,≥70,70,,SI,NO,Dosis adulta habitual,REGIMEN,,DailyMed – Topiramate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2917ba32-3355-4d64-966a-8518e6fafdbe,2026-09-02,VALIDADO,SI
REN-0097,MED-0580,TOPIRAMATO,Adulto,Adulto,PO,CrCl_normalizado_mL_min_1_73m2,<70,,70,SI,NO,Usar 50% de la dosis adulta habitual,PORCENTAJE,Puede tardar más en alcanzar estado estacionario. Hemodiálisis puede requerir dosis suplementaria individualizada.,DailyMed – Topiramate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2917ba32-3355-4d64-966a-8518e6fafdbe,2026-09-02,VALIDADO,SI
REN-0098,MED-0385,METOCLOPRAMIDA,ERGE sintomático documentado,Adulto,PO,CrCl_CG_mL_min,>60,60,,NO,NO,10–15 mg PO QID; máximo 60 mg/día,REGIMEN,,DailyMed – Metoclopramide prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=797aad80-0597-42f8-99d5-39de180c3b5a,2026-09-02,VALIDADO,SI
REN-0099,MED-0385,METOCLOPRAMIDA,ERGE sintomático documentado,Adulto,PO,CrCl_CG_mL_min,≤60 / ESRD,,60,SI,SI,5 mg PO QID o 10 mg PO BID; máximo 20 mg/día,REGIMEN,,DailyMed – Metoclopramide prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=797aad80-0597-42f8-99d5-39de180c3b5a,2026-09-02,VALIDADO,SI
REN-0100,MED-0385,METOCLOPRAMIDA,Gastroparesia diabética,Adulto,PO,CrCl_CG_mL_min,≥60,60,,SI,NO,10 mg PO QID; máximo 40 mg/día,REGIMEN,,DailyMed – Metoclopramide prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=797aad80-0597-42f8-99d5-39de180c3b5a,2026-09-02,VALIDADO,SI
REN-0101,MED-0385,METOCLOPRAMIDA,Gastroparesia diabética,Adulto,PO,CrCl_CG_mL_min,<60 / ESRD,,60,SI,NO,5 mg PO BID; máximo 10 mg/día,REGIMEN,,DailyMed – Metoclopramide prescribing information (2026 label),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=797aad80-0597-42f8-99d5-39de180c3b5a,2026-09-02,VALIDADO,SI
REN-0102,MED-0467,PIRAZINAMIDA,Tuberculosis,Adulto,PO,CrCl_CG_mL_min,>30,30,,NO,NO,20 mg/kg PO q24h,REGIMEN,"Para >80 kg, UCSF recomienda consultar farmacia/clinica TB.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0103,MED-0467,PIRAZINAMIDA,Tuberculosis,Adulto,PO,CrCl_CG_mL_min,<30,,30,SI,NO,20 mg/kg PO tres veces por semana,REGIMEN,Alinear con programa TB local.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0104,MED-0599,VALGANCICLOVIR,Tratamiento CMV,Adulto,PO,CrCl_CG_mL_min,>60,60,,NO,NO,900 mg PO q12h,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0105,MED-0599,VALGANCICLOVIR,Tratamiento CMV,Adulto,PO,CrCl_CG_mL_min,40–60,40,60,SI,SI,450 mg PO q12h,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0106,MED-0599,VALGANCICLOVIR,Tratamiento CMV,Adulto,PO,CrCl_CG_mL_min,25–<40,25,40,SI,NO,450 mg PO q24h,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0107,MED-0599,VALGANCICLOVIR,Tratamiento CMV,Adulto,PO,CrCl_CG_mL_min,10–<25,10,25,SI,NO,450 mg PO cada 48 h,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0108,MED-0599,VALGANCICLOVIR,Profilaxis CMV,Adulto,PO,CrCl_CG_mL_min,>60,60,,NO,NO,900 mg PO q24h,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0109,MED-0599,VALGANCICLOVIR,Profilaxis CMV,Adulto,PO,CrCl_CG_mL_min,40–60,40,60,SI,SI,450 mg PO q24h,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0110,MED-0599,VALGANCICLOVIR,Profilaxis CMV,Adulto,PO,CrCl_CG_mL_min,25–<40,25,40,SI,NO,450 mg PO cada 48 h,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0111,MED-0599,VALGANCICLOVIR,Profilaxis CMV,Adulto,PO,CrCl_CG_mL_min,10–<25,10,25,SI,NO,450 mg PO 2 veces/semana,REGIMEN,Regla de UCSF para adultos no dializados.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0112,MED-0251,FAMOTIDINA,Úlcera duodenal o gástrica activa,Adulto,PO,CrCl_CG_mL_min,≥60,60,,SI,NO,DU: 40 mg PO q24h o 20 mg BID; úlcera gástrica: 40 mg PO q24h,REGIMEN,Aplicable a adultos y pacientes pediátricos ≥40 kg según la ficha citada.,DailyMed – Famotidine prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfc9e530-3433-4fed-a542-0e64123cddfb,2026-09-02,VALIDADO,SI
REN-0113,MED-0251,FAMOTIDINA,ERGE sintomático no erosivo,Adulto,PO,CrCl_CG_mL_min,≥60,60,,SI,NO,20 mg PO BID,REGIMEN,Aplicable a adultos y pacientes pediátricos ≥40 kg según la ficha citada.,DailyMed – Famotidine prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bfc9e530-3433-4fed-a542-0e64123cddfb,2026-09-02,VALIDADO,SI
